; CSV, generated by atk_libsigrok4 1.0.0 on 2026-07-31 11:04:28
; Channels (5/16)
; ChannelsType: 31
; Sample rate: 20 MHz
; Sample count: 9.536743 M
; Sampling time: 2026-07-31 10:59:07.619
SystemTime, Time(s), STV_mode, oepsn, ud, cpv, chip_sel
'2026-07-31 10:59:07.706629300,0.019629300,0,0,0,0,1
'2026-07-31 10:59:07.706632300,0.019632300,0,0,0,1,0
'2026-07-31 10:59:07.706779300,0.019779300,0,0,0,0,1
'2026-07-31 10:59:07.706782250,0.019782250,0,0,0,0,0
'2026-07-31 10:59:07.706782300,0.019782300,0,0,0,1,0
'2026-07-31 10:59:07.706929300,0.019929300,0,0,0,0,1
'2026-07-31 10:59:07.706932250,0.019932250,0,0,0,0,0
'2026-07-31 10:59:07.706932300,0.019932300,0,0,0,1,0
'2026-07-31 10:59:07.707079300,0.020079300,0,0,0,0,1
'2026-07-31 10:59:07.707082250,0.020082250,0,0,0,0,0
'2026-07-31 10:59:07.707082300,0.020082300,0,0,0,1,0
'2026-07-31 10:59:07.707229300,0.020229300,0,0,0,0,1
'2026-07-31 10:59:07.707232250,0.020232250,0,0,0,0,0
'2026-07-31 10:59:07.707232300,0.020232300,0,0,0,1,0
'2026-07-31 10:59:07.707379300,0.020379300,0,0,0,0,1
'2026-07-31 10:59:07.707382250,0.020382250,0,0,0,0,0
'2026-07-31 10:59:07.707382300,0.020382300,0,0,0,1,0
'2026-07-31 10:59:07.707529300,0.020529300,0,0,0,0,1
'2026-07-31 10:59:07.707532250,0.020532250,0,0,0,0,0
'2026-07-31 10:59:07.707532300,0.020532300,0,0,0,1,0
'2026-07-31 10:59:07.707679300,0.020679300,0,0,0,0,1
'2026-07-31 10:59:07.707682250,0.020682250,0,0,0,0,0
'2026-07-31 10:59:07.707682300,0.020682300,0,0,0,1,0
'2026-07-31 10:59:07.707829300,0.020829300,0,0,0,0,1
'2026-07-31 10:59:07.707832250,0.020832250,0,0,0,0,0
'2026-07-31 10:59:07.707832300,0.020832300,0,0,0,1,0
'2026-07-31 10:59:07.707979300,0.020979300,0,0,0,0,1
'2026-07-31 10:59:07.707982250,0.020982250,0,0,0,0,0
'2026-07-31 10:59:07.707982300,0.020982300,0,0,0,1,0
'2026-07-31 10:59:07.708129300,0.021129300,0,0,0,0,1
'2026-07-31 10:59:07.708132250,0.021132250,0,0,0,0,0
'2026-07-31 10:59:07.708132300,0.021132300,0,0,0,1,0
'2026-07-31 10:59:07.708279300,0.021279300,0,0,0,0,1
'2026-07-31 10:59:07.708282250,0.021282250,0,0,0,0,0
'2026-07-31 10:59:07.708282300,0.021282300,0,0,0,1,0
'2026-07-31 10:59:07.708429300,0.021429300,0,0,0,0,1
'2026-07-31 10:59:07.708432250,0.021432250,0,0,0,0,0
'2026-07-31 10:59:07.708432300,0.021432300,0,0,0,1,0
'2026-07-31 10:59:07.708579300,0.021579300,0,0,0,0,1
'2026-07-31 10:59:07.708582250,0.021582250,0,0,0,0,0
'2026-07-31 10:59:07.708582300,0.021582300,0,0,0,1,0
'2026-07-31 10:59:07.708729300,0.021729300,0,0,0,0,1
'2026-07-31 10:59:07.708732250,0.021732250,0,0,0,0,0
'2026-07-31 10:59:07.708732300,0.021732300,0,0,0,1,0
'2026-07-31 10:59:07.708879300,0.021879300,0,0,0,0,1
'2026-07-31 10:59:07.708882250,0.021882250,0,0,0,0,0
'2026-07-31 10:59:07.708882300,0.021882300,0,0,0,1,0
'2026-07-31 10:59:07.709029300,0.022029300,0,0,0,0,1
'2026-07-31 10:59:07.709032250,0.022032250,0,0,0,0,0
'2026-07-31 10:59:07.709032300,0.022032300,0,0,0,1,0
'2026-07-31 10:59:07.709179300,0.022179300,0,0,0,0,1
'2026-07-31 10:59:07.709182250,0.022182250,0,0,0,0,0
'2026-07-31 10:59:07.709182300,0.022182300,0,0,0,1,0
'2026-07-31 10:59:07.709329300,0.022329300,0,0,0,0,1
'2026-07-31 10:59:07.709332250,0.022332250,0,0,0,0,0
'2026-07-31 10:59:07.709332300,0.022332300,0,0,0,1,0
'2026-07-31 10:59:07.709479300,0.022479300,0,0,0,0,1
'2026-07-31 10:59:07.709482250,0.022482250,0,0,0,0,0
'2026-07-31 10:59:07.709482300,0.022482300,0,0,0,1,0
'2026-07-31 10:59:07.709629300,0.022629300,0,0,0,0,1
'2026-07-31 10:59:07.709632250,0.022632250,0,0,0,0,0
'2026-07-31 10:59:07.709632300,0.022632300,0,0,0,1,0
'2026-07-31 10:59:07.709779300,0.022779300,0,0,0,0,1
'2026-07-31 10:59:07.709782250,0.022782250,0,0,0,0,0
